Code,Brand,Category,Model,Output Power,Key Specs,Price (Toman)
JB01,JBL,Party Speaker,PARTYBOX ULTIMATE,1100W RMS,"Wi-Fi + Bluetooth, IPX4, Lightshow, DJ app","265,500,000 تومان"
JB02,JBL,Party Speaker,PARTYBOX 720,800W RMS,"Bluetooth 5.4, Battery 15h, IPX4, Auracast, Wheels","159,500,000 تومان"
JB03,JBL,Party Speaker,PARTYBOX 710,800W RMS,"AC Power (no battery), IPX4, Lightshow, Karaoke","117,500,000 تومان"
JB04,JBL,Party Speaker,PARTYBOX 520,400W RMS,"Bluetooth 5.4, Battery 15h, IPX4, XLR inputs","121,500,000 تومان"
JB05,JBL,Party Speaker,PARTYBOX 330 - Black,~240W,"Battery-powered party speaker, Lightshow","127,500,000 تومان"
JB06,JBL,Party Speaker,PARTYBOX 330 - White,~240W,"Battery-powered party speaker, Lightshow","141,500,000 تومان"
JB07,JBL,Party Speaker,PARTYBOX 320 - Black,~240W,"Bluetooth, Battery, Lightshow, Wheels","86,900,000 تومان"
JB08,JBL,Party Speaker,PARTYBOX 320 - White,~240W,"Bluetooth, Battery, Lightshow, Wheels","103,500,000 تومان"
JB09,JBL,Party Speaker,PARTYBOX 130 - Black,200W RMS,"Bluetooth 6.0, Battery 15h, IPX4, Auracast","85,500,000 تومان"
JB10,JBL,Party Speaker,PARTYBOX 130 - White,200W RMS,"Bluetooth 6.0, Battery 15h, IPX4, Auracast","95,500,000 تومان"
JB11,JBL,Party Speaker,PARTYBOX 120 - Black,~160W,"Battery 12h, Mic/Guitar inputs, Lightshow","68,500,000 تومان"
JB12,JBL,Party Speaker,PARTYBOX 120 - White,~160W,"Battery 12h, Mic/Guitar inputs, Lightshow","78,500,000 تومان"
JB13,JBL,Party Speaker,PARTYBOX 110,160W RMS,"Battery 12h, IPX4, Karaoke, Lightshow","57,500,000 تومان"
JB14,JBL,Party Speaker,PARTYBOX ENCORE ESSENTIAL 2,100W RMS,"Battery 15h, IPX4, Bluetooth 5.4, Auracast","61,500,000 تومان"
JB15,JBL,Party Speaker,PARTYBOX MIC,-,Wireless mic + dongle for PartyBox / karaoke,"26,500,000 تومان"
JB16,JBL,Accessory,PROTECTIVE COVER - ALL SIZES,-,Protective cover for PartyBox speakers,"6,500,000 تومان"
JB17,JBL,Portable Speaker,BOOMBOX 3 - Black,180W RMS (AC),"Battery 24h, IP67, Powerbank","69,500,000 تومان"
JB18,JBL,Portable Speaker,BOOMBOX 4 - Black,210W RMS (AC),"Battery 28h+, IP68, Auracast","96,500,000 تومان"
JB19,JBL,Portable Speaker,BOOMBOX 4 - Squad,210W RMS (AC),"Battery 28h+, IP68, Auracast","96,500,000 تومان"
JB20,JBL,Portable Speaker,BOOMBOX 4 - Blue,210W RMS (AC),"Battery 28h+, IP68, Auracast","96,500,000 تومان"
JB21,JBL,Portable Speaker,BOOMBOX 4 - White,210W RMS (AC),"Battery 28h+, IP68, Auracast","110,500,000 تومان"
